,RunId,iteration,Step,num_nodes,avg_node_degree,initial_outbreak_size,virus_spread_chance,recovery_chance,superspreader_chance,degree_influence,Infected,Susceptible,Resistant
0,0,0,50,3,4,10,0.4,0.3,0.01,0.01,0,0,3
1,1,0,50,3,4,10,0.4,0.3,0.01,0.02,0,0,3
2,2,0,50,3,4,10,0.4,0.3,0.01,0.03,0,0,3
3,3,0,50,3,4,10,0.4,0.3,0.01,0.04,0,1,2
4,4,0,50,3,4,10,0.4,0.3,0.01,0.05,0,1,2
5,5,0,50,3,4,10,0.4,0.3,0.05,0.01,0,2,1
6,6,0,50,3,4,10,0.4,0.3,0.05,0.02,0,2,1
7,7,0,50,3,4,10,0.4,0.3,0.05,0.03,0,1,2
8,8,0,50,3,4,10,0.4,0.3,0.05,0.04,0,1,2
9,9,0,50,3,4,10,0.4,0.3,0.05,0.05,0,2,1
10,10,0,50,3,4,10,0.4,0.3,0.1,0.01,0,0,3
11,11,0,50,3,4,10,0.4,0.3,0.1,0.02,0,0,3
12,12,0,50,3,4,10,0.4,0.3,0.1,0.03,0,1,2
13,13,0,50,3,4,10,0.4,0.3,0.1,0.04,0,0,3
14,14,0,50,3,4,10,0.4,0.3,0.1,0.05,0,1,2
15,15,0,50,3,4,10,0.4,0.3,0.15,0.01,0,0,3
16,16,0,50,3,4,10,0.4,0.3,0.15,0.02,0,1,2
17,17,0,50,3,4,10,0.4,0.3,0.15,0.03,1,0,2
18,18,0,50,3,4,10,0.4,0.3,0.15,0.04,0,0,3
19,19,0,50,3,4,10,0.4,0.3,0.15,0.05,0,1,2
20,20,0,50,3,4,10,0.4,0.3,0.2,0.01,0,1,2
21,21,0,50,3,4,10,0.4,0.3,0.2,0.02,0,1,2
22,22,0,50,3,4,10,0.4,0.3,0.2,0.03,0,0,3
23,24,0,50,3,4,10,0.4,0.3,0.2,0.05,0,1,2
24,23,0,50,3,4,10,0.4,0.3,0.2,0.04,0,2,1
25,25,1,50,3,4,10,0.4,0.3,0.01,0.01,0,2,1
26,26,1,50,3,4,10,0.4,0.3,0.01,0.02,0,0,3
27,27,1,50,3,4,10,0.4,0.3,0.01,0.03,0,0,3
28,28,1,50,3,4,10,0.4,0.3,0.01,0.04,0,1,2
29,29,1,50,3,4,10,0.4,0.3,0.01,0.05,0,1,2
30,30,1,50,3,4,10,0.4,0.3,0.05,0.01,0,1,2
31,31,1,50,3,4,10,0.4,0.3,0.05,0.02,0,0,3
32,32,1,50,3,4,10,0.4,0.3,0.05,0.03,0,1,2
33,33,1,50,3,4,10,0.4,0.3,0.05,0.04,0,0,3
34,34,1,50,3,4,10,0.4,0.3,0.05,0.05,0,1,2
35,36,1,50,3,4,10,0.4,0.3,0.1,0.02,0,0,3
36,35,1,50,3,4,10,0.4,0.3,0.1,0.01,0,0,3
37,37,1,50,3,4,10,0.4,0.3,0.1,0.03,0,1,2
38,38,1,50,3,4,10,0.4,0.3,0.1,0.04,0,1,2
39,39,1,50,3,4,10,0.4,0.3,0.1,0.05,0,1,2
40,40,1,50,3,4,10,0.4,0.3,0.15,0.01,0,0,3
41,41,1,50,3,4,10,0.4,0.3,0.15,0.02,0,0,3
42,42,1,50,3,4,10,0.4,0.3,0.15,0.03,0,1,2
43,43,1,50,3,4,10,0.4,0.3,0.15,0.04,0,0,3
44,44,1,50,3,4,10,0.4,0.3,0.15,0.05,0,1,2
45,46,1,50,3,4,10,0.4,0.3,0.2,0.02,0,1,2
46,45,1,50,3,4,10,0.4,0.3,0.2,0.01,0,0,3
47,47,1,50,3,4,10,0.4,0.3,0.2,0.03,0,1,2
48,48,1,50,3,4,10,0.4,0.3,0.2,0.04,0,1,2
49,49,1,50,3,4,10,0.4,0.3,0.2,0.05,0,0,3
50,50,2,50,3,4,10,0.4,0.3,0.01,0.01,0,1,2
51,51,2,50,3,4,10,0.4,0.3,0.01,0.02,0,1,2
52,53,2,50,3,4,10,0.4,0.3,0.01,0.04,0,1,2
53,52,2,50,3,4,10,0.4,0.3,0.01,0.03,0,0,3
54,54,2,50,3,4,10,0.4,0.3,0.01,0.05,0,1,2
55,55,2,50,3,4,10,0.4,0.3,0.05,0.01,0,0,3
56,56,2,50,3,4,10,0.4,0.3,0.05,0.02,1,0,2
57,58,2,50,3,4,10,0.4,0.3,0.05,0.04,0,0,3
58,57,2,50,3,4,10,0.4,0.3,0.05,0.03,0,1,2
59,59,2,50,3,4,10,0.4,0.3,0.05,0.05,0,2,1
60,62,2,50,3,4,10,0.4,0.3,0.1,0.03,0,0,3
61,61,2,50,3,4,10,0.4,0.3,0.1,0.02,0,1,2
62,60,2,50,3,4,10,0.4,0.3,0.1,0.01,0,1,2
63,64,2,50,3,4,10,0.4,0.3,0.1,0.05,0,0,3
64,63,2,50,3,4,10,0.4,0.3,0.1,0.04,0,0,3
65,65,2,50,3,4,10,0.4,0.3,0.15,0.01,0,2,1
66,66,2,50,3,4,10,0.4,0.3,0.15,0.02,0,0,3
67,67,2,50,3,4,10,0.4,0.3,0.15,0.03,0,1,2
68,68,2,50,3,4,10,0.4,0.3,0.15,0.04,0,0,3
69,69,2,50,3,4,10,0.4,0.3,0.15,0.05,0,0,3
70,71,2,50,3,4,10,0.4,0.3,0.2,0.02,0,1,2
71,72,2,50,3,4,10,0.4,0.3,0.2,0.03,0,0,3
72,70,2,50,3,4,10,0.4,0.3,0.2,0.01,0,1,2
73,73,2,50,3,4,10,0.4,0.3,0.2,0.04,0,0,3
74,74,2,50,3,4,10,0.4,0.3,0.2,0.05,0,0,3
75,75,3,50,3,4,10,0.4,0.3,0.01,0.01,0,1,2
76,76,3,50,3,4,10,0.4,0.3,0.01,0.02,0,1,2
77,77,3,50,3,4,10,0.4,0.3,0.01,0.03,0,0,3
78,78,3,50,3,4,10,0.4,0.3,0.01,0.04,0,0,3
79,79,3,50,3,4,10,0.4,0.3,0.01,0.05,0,0,3
80,80,3,50,3,4,10,0.4,0.3,0.05,0.01,0,0,3
81,81,3,50,3,4,10,0.4,0.3,0.05,0.02,0,1,2
82,82,3,50,3,4,10,0.4,0.3,0.05,0.03,0,0,3
83,83,3,50,3,4,10,0.4,0.3,0.05,0.04,0,1,2
84,84,3,50,3,4,10,0.4,0.3,0.05,0.05,0,0,3
85,85,3,50,3,4,10,0.4,0.3,0.1,0.01,0,0,3
86,87,3,50,3,4,10,0.4,0.3,0.1,0.03,0,0,3
87,86,3,50,3,4,10,0.4,0.3,0.1,0.02,0,1,2
88,89,3,50,3,4,10,0.4,0.3,0.1,0.05,0,0,3
89,88,3,50,3,4,10,0.4,0.3,0.1,0.04,0,1,2
90,91,3,50,3,4,10,0.4,0.3,0.15,0.02,0,2,1
91,90,3,50,3,4,10,0.4,0.3,0.15,0.01,0,0,3
92,92,3,50,3,4,10,0.4,0.3,0.15,0.03,0,1,2
93,93,3,50,3,4,10,0.4,0.3,0.15,0.04,0,1,2
94,94,3,50,3,4,10,0.4,0.3,0.15,0.05,0,0,3
95,95,3,50,3,4,10,0.4,0.3,0.2,0.01,0,1,2
96,97,3,50,3,4,10,0.4,0.3,0.2,0.03,0,1,2
97,96,3,50,3,4,10,0.4,0.3,0.2,0.02,0,1,2
98,99,3,50,3,4,10,0.4,0.3,0.2,0.05,0,0,3
99,98,3,50,3,4,10,0.4,0.3,0.2,0.04,0,0,3
100,100,4,50,3,4,10,0.4,0.3,0.01,0.01,0,1,2
101,102,4,50,3,4,10,0.4,0.3,0.01,0.03,0,0,3
102,101,4,50,3,4,10,0.4,0.3,0.01,0.02,0,0,3
103,104,4,50,3,4,10,0.4,0.3,0.01,0.05,0,1,2
104,103,4,50,3,4,10,0.4,0.3,0.01,0.04,0,1,2
105,105,4,50,3,4,10,0.4,0.3,0.05,0.01,0,1,2
106,107,4,50,3,4,10,0.4,0.3,0.05,0.03,0,1,2
107,109,4,50,3,4,10,0.4,0.3,0.05,0.05,0,1,2
108,108,4,50,3,4,10,0.4,0.3,0.05,0.04,1,0,2
109,106,4,50,3,4,10,0.4,0.3,0.05,0.02,0,0,3
110,111,4,50,3,4,10,0.4,0.3,0.1,0.02,0,1,2
111,112,4,50,3,4,10,0.4,0.3,0.1,0.03,0,1,2
112,110,4,50,3,4,10,0.4,0.3,0.1,0.01,0,1,2
113,114,4,50,3,4,10,0.4,0.3,0.1,0.05,0,1,2
114,113,4,50,3,4,10,0.4,0.3,0.1,0.04,0,0,3
115,115,4,50,3,4,10,0.4,0.3,0.15,0.01,0,0,3
116,118,4,50,3,4,10,0.4,0.3,0.15,0.04,0,0,3
117,117,4,50,3,4,10,0.4,0.3,0.15,0.03,0,1,2
118,116,4,50,3,4,10,0.4,0.3,0.15,0.02,0,2,1
119,120,4,50,3,4,10,0.4,0.3,0.2,0.01,0,1,2
120,119,4,50,3,4,10,0.4,0.3,0.15,0.05,0,1,2
121,121,4,50,3,4,10,0.4,0.3,0.2,0.02,0,1,2
122,124,4,50,3,4,10,0.4,0.3,0.2,0.05,0,2,1
123,123,4,50,3,4,10,0.4,0.3,0.2,0.04,0,0,3
124,125,5,50,3,4,10,0.4,0.3,0.01,0.01,0,1,2
125,126,5,50,3,4,10,0.4,0.3,0.01,0.02,0,0,3
126,122,4,50,3,4,10,0.4,0.3,0.2,0.03,0,1,2
127,129,5,50,3,4,10,0.4,0.3,0.01,0.05,0,1,2
128,127,5,50,3,4,10,0.4,0.3,0.01,0.03,0,0,3
129,130,5,50,3,4,10,0.4,0.3,0.05,0.01,0,1,2
130,132,5,50,3,4,10,0.4,0.3,0.05,0.03,0,2,1
131,128,5,50,3,4,10,0.4,0.3,0.01,0.04,0,1,2
132,133,5,50,3,4,10,0.4,0.3,0.05,0.04,0,0,3
133,134,5,50,3,4,10,0.4,0.3,0.05,0.05,0,0,3
134,131,5,50,3,4,10,0.4,0.3,0.05,0.02,0,1,2
135,135,5,50,3,4,10,0.4,0.3,0.1,0.01,0,1,2
136,136,5,50,3,4,10,0.4,0.3,0.1,0.02,0,1,2
137,139,5,50,3,4,10,0.4,0.3,0.1,0.05,0,1,2
138,138,5,50,3,4,10,0.4,0.3,0.1,0.04,0,0,3
139,137,5,50,3,4,10,0.4,0.3,0.1,0.03,0,0,3
140,141,5,50,3,4,10,0.4,0.3,0.15,0.02,0,1,2
141,140,5,50,3,4,10,0.4,0.3,0.15,0.01,0,0,3
142,142,5,50,3,4,10,0.4,0.3,0.15,0.03,0,0,3
143,145,5,50,3,4,10,0.4,0.3,0.2,0.01,0,1,2
144,146,5,50,3,4,10,0.4,0.3,0.2,0.02,0,1,2
145,143,5,50,3,4,10,0.4,0.3,0.15,0.04,0,0,3
146,144,5,50,3,4,10,0.4,0.3,0.15,0.05,0,0,3
147,147,5,50,3,4,10,0.4,0.3,0.2,0.03,0,1,2
148,151,6,50,3,4,10,0.4,0.3,0.01,0.02,0,1,2
149,152,6,50,3,4,10,0.4,0.3,0.01,0.03,0,1,2
150,149,5,50,3,4,10,0.4,0.3,0.2,0.05,0,1,2
151,148,5,50,3,4,10,0.4,0.3,0.2,0.04,0,1,2
152,150,6,50,3,4,10,0.4,0.3,0.01,0.01,0,0,3
153,153,6,50,3,4,10,0.4,0.3,0.01,0.04,0,0,3
154,154,6,50,3,4,10,0.4,0.3,0.01,0.05,0,1,2
155,155,6,50,3,4,10,0.4,0.3,0.05,0.01,0,1,2
156,157,6,50,3,4,10,0.4,0.3,0.05,0.03,0,1,2
157,160,6,50,3,4,10,0.4,0.3,0.1,0.01,0,0,3
158,156,6,50,3,4,10,0.4,0.3,0.05,0.02,0,2,1
159,158,6,50,3,4,10,0.4,0.3,0.05,0.04,0,0,3
160,161,6,50,3,4,10,0.4,0.3,0.1,0.02,0,1,2
161,159,6,50,3,4,10,0.4,0.3,0.05,0.05,0,1,2
162,163,6,50,3,4,10,0.4,0.3,0.1,0.04,0,1,2
163,165,6,50,3,4,10,0.4,0.3,0.15,0.01,0,1,2
164,162,6,50,3,4,10,0.4,0.3,0.1,0.03,0,1,2
165,166,6,50,3,4,10,0.4,0.3,0.15,0.02,0,1,2
166,164,6,50,3,4,10,0.4,0.3,0.1,0.05,0,1,2
167,168,6,50,3,4,10,0.4,0.3,0.15,0.04,0,2,1
168,167,6,50,3,4,10,0.4,0.3,0.15,0.03,0,1,2
169,170,6,50,3,4,10,0.4,0.3,0.2,0.01,0,0,3
170,169,6,50,3,4,10,0.4,0.3,0.15,0.05,0,0,3
171,172,6,50,3,4,10,0.4,0.3,0.2,0.03,0,0,3
172,173,6,50,3,4,10,0.4,0.3,0.2,0.04,0,1,2
173,171,6,50,3,4,10,0.4,0.3,0.2,0.02,0,1,2
174,176,7,50,3,4,10,0.4,0.3,0.01,0.02,0,0,3
175,174,6,50,3,4,10,0.4,0.3,0.2,0.05,0,1,2
176,175,7,50,3,4,10,0.4,0.3,0.01,0.01,0,0,3
177,177,7,50,3,4,10,0.4,0.3,0.01,0.03,0,0,3
178,179,7,50,3,4,10,0.4,0.3,0.01,0.05,0,0,3
179,178,7,50,3,4,10,0.4,0.3,0.01,0.04,0,0,3
180,180,7,50,3,4,10,0.4,0.3,0.05,0.01,0,1,2
181,182,7,50,3,4,10,0.4,0.3,0.05,0.03,0,1,2
182,181,7,50,3,4,10,0.4,0.3,0.05,0.02,0,0,3
183,185,7,50,3,4,10,0.4,0.3,0.1,0.01,0,1,2
184,186,7,50,3,4,10,0.4,0.3,0.1,0.02,0,0,3
185,184,7,50,3,4,10,0.4,0.3,0.05,0.05,0,0,3
186,183,7,50,3,4,10,0.4,0.3,0.05,0.04,0,0,3
187,187,7,50,3,4,10,0.4,0.3,0.1,0.03,0,1,2
188,189,7,50,3,4,10,0.4,0.3,0.1,0.05,0,1,2
189,190,7,50,3,4,10,0.4,0.3,0.15,0.01,0,2,1
190,188,7,50,3,4,10,0.4,0.3,0.1,0.04,0,1,2
191,191,7,50,3,4,10,0.4,0.3,0.15,0.02,0,1,2
192,192,7,50,3,4,10,0.4,0.3,0.15,0.03,0,1,2
193,193,7,50,3,4,10,0.4,0.3,0.15,0.04,0,1,2
194,195,7,50,3,4,10,0.4,0.3,0.2,0.01,0,1,2
195,194,7,50,3,4,10,0.4,0.3,0.15,0.05,0,1,2
196,197,7,50,3,4,10,0.4,0.3,0.2,0.03,0,1,2
197,198,7,50,3,4,10,0.4,0.3,0.2,0.04,0,0,3
198,196,7,50,3,4,10,0.4,0.3,0.2,0.02,0,0,3
199,199,7,50,3,4,10,0.4,0.3,0.2,0.05,0,1,2
200,201,8,50,3,4,10,0.4,0.3,0.01,0.02,0,0,3
201,200,8,50,3,4,10,0.4,0.3,0.01,0.01,0,2,1
202,202,8,50,3,4,10,0.4,0.3,0.01,0.03,0,0,3
203,204,8,50,3,4,10,0.4,0.3,0.01,0.05,0,1,2
204,203,8,50,3,4,10,0.4,0.3,0.01,0.04,0,0,3
205,205,8,50,3,4,10,0.4,0.3,0.05,0.01,0,0,3
206,206,8,50,3,4,10,0.4,0.3,0.05,0.02,0,1,2
207,210,8,50,3,4,10,0.4,0.3,0.1,0.01,0,1,2
208,208,8,50,3,4,10,0.4,0.3,0.05,0.04,0,1,2
209,209,8,50,3,4,10,0.4,0.3,0.05,0.05,0,0,3
210,207,8,50,3,4,10,0.4,0.3,0.05,0.03,0,1,2
211,211,8,50,3,4,10,0.4,0.3,0.1,0.02,0,0,3
212,213,8,50,3,4,10,0.4,0.3,0.1,0.04,0,1,2
213,212,8,50,3,4,10,0.4,0.3,0.1,0.03,0,2,1
214,214,8,50,3,4,10,0.4,0.3,0.1,0.05,0,0,3
215,216,8,50,3,4,10,0.4,0.3,0.15,0.02,0,1,2
216,215,8,50,3,4,10,0.4,0.3,0.15,0.01,0,1,2
217,219,8,50,3,4,10,0.4,0.3,0.15,0.05,0,1,2
218,217,8,50,3,4,10,0.4,0.3,0.15,0.03,0,1,2
219,218,8,50,3,4,10,0.4,0.3,0.15,0.04,0,1,2
220,222,8,50,3,4,10,0.4,0.3,0.2,0.03,0,1,2
221,224,8,50,3,4,10,0.4,0.3,0.2,0.05,0,1,2
222,220,8,50,3,4,10,0.4,0.3,0.2,0.01,0,1,2
223,221,8,50,3,4,10,0.4,0.3,0.2,0.02,0,1,2
224,223,8,50,3,4,10,0.4,0.3,0.2,0.04,0,1,2
225,228,9,50,3,4,10,0.4,0.3,0.01,0.04,0,1,2
226,225,9,50,3,4,10,0.4,0.3,0.01,0.01,0,0,3
227,227,9,50,3,4,10,0.4,0.3,0.01,0.03,0,1,2
228,229,9,50,3,4,10,0.4,0.3,0.01,0.05,0,1,2
229,226,9,50,3,4,10,0.4,0.3,0.01,0.02,0,2,1
230,230,9,50,3,4,10,0.4,0.3,0.05,0.01,0,0,3
231,233,9,50,3,4,10,0.4,0.3,0.05,0.04,0,1,2
232,232,9,50,3,4,10,0.4,0.3,0.05,0.03,0,1,2
233,234,9,50,3,4,10,0.4,0.3,0.05,0.05,0,2,1
234,235,9,50,3,4,10,0.4,0.3,0.1,0.01,0,2,1
235,231,9,50,3,4,10,0.4,0.3,0.05,0.02,0,1,2
236,236,9,50,3,4,10,0.4,0.3,0.1,0.02,0,2,1
